time,gFx,gFy,gFz,TgF
0.555000,-0.0147,-0.0103,1.0926,1.093
0.559000,-0.0147,-0.0142,1.0945,1.095
0.562000,-0.0069,-0.0122,1.0926,1.093
0.566000,-0.0167,-0.0083,1.0984,1.099
0.571000,-0.0128,-0.0142,1.0945,1.095
0.577000,-0.0108,-0.0142,1.0965,1.097
0.581000,-0.0108,-0.0142,1.0965,1.097
0.586000,-0.0128,-0.0142,1.1043,1.104
0.600000,-0.0206,-0.0181,1.1043,1.105
0.601000,-0.0128,-0.0161,1.1082,1.108
0.602000,-0.0304,-0.0200,1.1141,1.115
0.606000,-0.0147,-0.0142,1.0926,1.093
0.612000,-0.0167,-0.0161,1.1004,1.101
0.624000,-0.0186,-0.0181,1.1082,1.109
0.625000,-0.0186,-0.0200,1.1141,1.114
0.652000,-0.0147,-0.0161,1.0965,1.097
0.655000,-0.0245,-0.0220,1.1043,1.105
0.656000,-0.0147,-0.0220,1.0984,1.099
0.657000,-0.0206,-0.0181,1.1023,1.103
0.658000,-0.0245,-0.0181,1.1023,1.103
0.659000,-0.0108,-0.0103,1.1023,1.102
0.660000,-0.0108,-0.0161,1.0984,1.099
0.661000,-0.0167,-0.0161,1.0945,1.095
0.665000,-0.0245,-0.0161,1.1023,1.103
0.670000,-0.0147,-0.0161,1.0965,1.097
0.684000,-0.0206,-0.0181,1.1043,1.105
0.685000,-0.0225,-0.0239,1.1102,1.111
0.686000,-0.0186,-0.0142,1.1062,1.106
0.692000,-0.0147,-0.0200,1.1062,1.107
0.696000,-0.0167,-0.0200,1.0945,1.095
0.700000,-0.0206,-0.0161,1.1141,1.114
0.704000,-0.0167,-0.0239,1.1043,1.105
0.716000,-0.0128,-0.0161,1.1102,1.110
0.717000,-0.0108,-0.0220,1.0984,1.099
0.719000,-0.0206,-0.0161,1.0906,1.091
0.725000,-0.0206,-0.0200,1.1082,1.109
0.729000,-0.0186,-0.0220,1.1062,1.107
0.734000,-0.0167,-0.0142,1.1043,1.105
0.738000,-0.0225,-0.0181,1.1043,1.105
0.743000,-0.0186,-0.0200,1.0965,1.097
0.748000,-0.0147,-0.0181,1.1023,1.103
0.754000,-0.0225,-0.0200,1.1082,1.109
0.759000,-0.0245,-0.0161,1.1082,1.109
0.763000,-0.0108,-0.0181,1.0945,1.095
0.768000,-0.0147,-0.0200,1.0984,1.099
0.774000,-0.0128,-0.0181,1.1023,1.103
0.778000,-0.0206,-0.0220,1.1102,1.111
0.783000,-0.0186,-0.0181,1.1023,1.103
0.788000,-0.0206,-0.0200,1.0965,1.097
0.800000,-0.0167,-0.0220,1.1141,1.114
0.801000,-0.0128,-0.0200,1.1082,1.108
0.802000,-0.0186,-0.0200,1.0965,1.097
0.808000,-0.0225,-0.0220,1.1062,1.107
0.813000,-0.0128,-0.0200,1.1004,1.101
0.817000,-0.0167,-0.0161,1.1004,1.101
0.822000,-0.0147,-0.0142,1.0906,1.091
0.843000,-0.0186,-0.0161,1.1043,1.105
0.844000,-0.0089,-0.0142,1.1023,1.102
0.845000,-0.0089,-0.0142,1.1062,1.106
0.845000,-0.0108,-0.0064,1.0926,1.093
0.847000,-0.0108,-0.0103,1.0965,1.097
0.852000,-0.0089,-0.0103,1.0926,1.093
0.857000,-0.0186,-0.0122,1.0965,1.097
0.862000,-0.0089,-0.0122,1.0906,1.091
0.867000,-0.0108,-0.0161,1.0867,1.087
0.872000,-0.0147,-0.0142,1.0887,1.089
0.883000,-0.0225,-0.0200,1.0984,1.099
0.884000,-0.0167,-0.0122,1.0984,1.099
0.886000,-0.0089,-0.0161,1.0906,1.091
0.914000,-0.0108,-0.0181,1.0965,1.097
0.916000,-0.0128,-0.0200,1.0984,1.099
0.917000,-0.0108,-0.0181,1.1023,1.103
0.917000,-0.0186,-0.0161,1.0984,1.099
0.918000,-0.0108,-0.0161,1.0926,1.093
0.918000,-0.0128,-0.0161,1.1023,1.103
0.921000,-0.0147,-0.0161,1.0887,1.089
0.926000,-0.0128,-0.0181,1.0926,1.093
0.931000,-0.0167,-0.0200,1.0945,1.095
0.936000,-0.0167,-0.0181,1.1023,1.103
0.943000,-0.0186,-0.0220,1.0965,1.097
0.946000,-0.0245,-0.0122,1.0984,1.099
0.951000,-0.0225,-0.0161,1.1062,1.107
0.955000,-0.0206,-0.0181,1.1082,1.109
0.961000,-0.0206,-0.0142,1.1043,1.105
0.965000,-0.0108,-0.0122,1.1062,1.106
0.970000,-0.0167,-0.0220,1.0965,1.097
0.977000,-0.0167,-0.0161,1.1062,1.106
0.980000,-0.0186,-0.0142,1.1043,1.105
0.985000,-0.0128,-0.0181,1.0965,1.097
0.990000,-0.0128,-0.0122,1.0984,1.099
1.001000,-0.0147,-0.0122,1.0965,1.097
1.003000,-0.0089,-0.0161,1.1043,1.104
1.004000,-0.0010,-0.0142,1.0965,1.097
1.034000,-0.0128,-0.0142,1.1004,1.101
1.035000,-0.0030,-0.0161,1.0808,1.081
1.036000,-0.0069,-0.0181,1.0965,1.097
1.036000,-0.0089,-0.0200,1.0945,1.095
1.036000,-0.0167,-0.0161,1.0965,1.097
1.037000,-0.0108,-0.0200,1.0906,1.091
1.039000,-0.0089,-0.0200,1.1062,1.106
1.044000,-0.0206,-0.0220,1.1062,1.107
1.049000,-0.0167,-0.0279,1.1082,1.109
1.054000,-0.0108,-0.0181,1.0906,1.091
1.059000,-0.0128,-0.0220,1.1023,1.103
1.064000,-0.0186,-0.0239,1.1043,1.105
1.068000,-0.0265,-0.0200,1.1102,1.111
1.074000,-0.0206,-0.0181,1.0926,1.093
1.078000,-0.0206,-0.0161,1.1062,1.107
1.083000,-0.0206,-0.0181,1.1043,1.105
1.088000,-0.0186,-0.0200,1.1004,1.101
1.101000,-0.0167,-0.0122,1.0945,1.095
1.103000,-0.0225,-0.0181,1.1023,1.103
1.103000,-0.0186,-0.0181,1.1043,1.105
1.108000,-0.0167,-0.0142,1.1043,1.105
1.132000,-0.0167,-0.0161,1.1062,1.106
1.134000,-0.0089,-0.0142,1.0945,1.095
1.135000,-0.0186,-0.0122,1.1121,1.112
1.135000,-0.0147,-0.0161,1.1141,1.114
1.136000,-0.0147,-0.0142,1.0965,1.097
1.137000,-0.0108,-0.0181,1.0984,1.099
1.144000,-0.0108,-0.0142,1.1023,1.102
1.148000,-0.0186,-0.0142,1.0984,1.099
1.152000,-0.0108,-0.0083,1.0945,1.095
1.157000,-0.0225,-0.0142,1.1062,1.107
1.162000,-0.0147,-0.0181,1.1023,1.103
1.167000,-0.0147,-0.0181,1.1043,1.105
1.171000,-0.0245,-0.0161,1.1121,1.112
1.177000,-0.0245,-0.0220,1.1004,1.101
1.181000,-0.0167,-0.0181,1.0965,1.097
1.186000,-0.0206,-0.0161,1.1043,1.105
1.201000,-0.0147,-0.0259,1.0965,1.097
1.202000,-0.0225,-0.0220,1.1004,1.101
1.203000,-0.0147,-0.0220,1.0926,1.093
1.227000,-0.0284,-0.0200,1.1004,1.101
1.228000,-0.0128,-0.0161,1.0847,1.085
1.229000,-0.0225,-0.0239,1.0984,1.099
1.229000,-0.0206,-0.0181,1.0926,1.093
1.230000,-0.0147,-0.0142,1.0906,1.091
1.230000,-0.0245,-0.0220,1.1023,1.103
1.236000,-0.0245,-0.0259,1.1023,1.103
1.241000,-0.0245,-0.0259,1.1062,1.107
1.246000,-0.0206,-0.0259,1.0926,1.093
1.250000,-0.0225,-0.0239,1.1023,1.103
1.255000,-0.0206,-0.0181,1.1062,1.107
1.261000,-0.0225,-0.0161,1.1023,1.103
1.265000,-0.0186,-0.0161,1.1043,1.105
1.270000,-0.0147,-0.0200,1.0965,1.097
1.277000,-0.0089,-0.0200,1.1004,1.101
1.280000,-0.0206,-0.0200,1.1062,1.107
1.285000,-0.0147,-0.0161,1.1062,1.106
1.290000,-0.0225,-0.0122,1.1023,1.103
1.301000,-0.0128,-0.0161,1.1043,1.104
1.302000,-0.0147,-0.0161,1.0965,1.097
1.304000,-0.0108,-0.0181,1.0945,1.095
1.331000,-0.0147,-0.0122,1.0945,1.095
1.332000,-0.0089,-0.0142,1.0926,1.093
1.332000,-0.0108,-0.0181,1.1102,1.110
1.333000,-0.0108,-0.0142,1.1043,1.104
1.333000,-0.0167,-0.0161,1.1004,1.101
1.334000,-0.0108,-0.0142,1.1023,1.102
1.339000,-0.0108,-0.0142,1.0984,1.099
1.345000,-0.0128,-0.0161,1.1043,1.104
1.349000,-0.0128,-0.0142,1.0906,1.091
1.355000,-0.0128,-0.0122,1.0945,1.095
1.362000,-0.0089,-0.0161,1.1004,1.101
1.364000,-0.0089,-0.0122,1.0965,1.097
1.368000,-0.0089,-0.0200,1.1062,1.106
1.374000,-0.0147,-0.0122,1.0906,1.091
1.380000,-0.0225,-0.0161,1.1023,1.103
1.383000,-0.0186,-0.0181,1.1023,1.103
1.390000,-0.0128,-0.0122,1.0945,1.095
1.394000,-0.0147,-0.0181,1.0926,1.093
1.398000,-0.0225,-0.0220,1.0906,1.091
1.403000,-0.0206,-0.0142,1.0887,1.089
1.408000,-0.0167,-0.0181,1.0887,1.089
1.418000,-0.0147,-0.0181,1.0965,1.097
1.419000,-0.0147,-0.0220,1.0906,1.091
1.451000,-0.0049,-0.0161,1.0887,1.089
1.452000,-0.0089,-0.0239,1.0926,1.093
1.453000,-0.0108,-0.0181,1.0847,1.085
1.454000,-0.0069,-0.0200,1.1004,1.101
1.454000,-0.0128,-0.0239,1.0945,1.095
1.455000,-0.0167,-0.0200,1.1062,1.107
1.455000,-0.0128,-0.0181,1.1043,1.105
1.457000,-0.0089,-0.0161,1.0847,1.085
1.462000,-0.0167,-0.0161,1.1043,1.105
1.467000,-0.0167,-0.0161,1.1023,1.103
1.472000,-0.0186,-0.0161,1.1023,1.103
1.478000,-0.0167,-0.0122,1.1043,1.104
1.481000,-0.0167,-0.0161,1.1004,1.101
1.486000,-0.0206,-0.0142,1.0984,1.099
1.491000,-0.0147,-0.0200,1.1004,1.101
1.501000,-0.0186,-0.0161,1.1102,1.110
1.503000,-0.0147,-0.0161,1.0984,1.099
1.508000,-0.0108,-0.0142,1.0926,1.093
1.537000,-0.0206,-0.0181,1.1043,1.105
1.538000,-0.0167,-0.0083,1.0887,1.089
1.539000,-0.0089,-0.0122,1.0965,1.097
1.539000,-0.0089,-0.0083,1.1004,1.100
1.540000,-0.0089,-0.0064,1.0965,1.097
1.540000,-0.0128,-0.0103,1.1023,1.102
1.541000,-0.0108,-0.0083,1.0965,1.097
1.546000,-0.0108,-0.0083,1.0926,1.093
1.551000,-0.0128,-0.0103,1.0965,1.097
1.556000,-0.0147,-0.0122,1.1043,1.104
1.561000,-0.0167,-0.0161,1.1004,1.101
1.565000,-0.0206,-0.0181,1.1160,1.116
1.570000,-0.0167,-0.0181,1.1062,1.107
1.575000,-0.0186,-0.0239,1.1004,1.101
1.580000,-0.0167,-0.0220,1.0926,1.093
1.585000,-0.0108,-0.0239,1.1004,1.101
1.590000,-0.0167,-0.0279,1.1082,1.109
1.604000,-0.0225,-0.0220,1.1043,1.105
1.605000,-0.0206,-0.0200,1.0984,1.099
1.608000,-0.0284,-0.0181,1.1043,1.105
1.623000,-0.0265,-0.0161,1.0906,1.091
1.624000,-0.0245,-0.0181,1.0945,1.095
1.624000,-0.0206,-0.0142,1.0926,1.093
1.624000,-0.0049,-0.0103,1.0945,1.095
1.634000,-0.0225,-0.0103,1.0847,1.085
1.641000,-0.0147,-0.0122,1.0926,1.093
1.642000,-0.0108,-0.0064,1.0945,1.095
1.645000,-0.0186,-0.0142,1.0887,1.089
1.649000,-0.0147,-0.0161,1.1082,1.108
1.654000,-0.0147,-0.0122,1.0945,1.095
1.659000,-0.0147,-0.0220,1.0926,1.093
1.664000,-0.0049,-0.0181,1.0945,1.095
1.669000,-0.0128,-0.0200,1.0906,1.091
1.673000,-0.0128,-0.0239,1.0926,1.093
1.679000,-0.0147,-0.0239,1.0945,1.095
1.683000,-0.0128,-0.0220,1.0945,1.095
1.688000,-0.0245,-0.0200,1.1023,1.103
1.703000,-0.0206,-0.0200,1.1023,1.103
1.704000,-0.0265,-0.0181,1.0965,1.097
1.706000,-0.0245,-0.0161,1.0984,1.099
1.712000,-0.0186,-0.0220,1.1023,1.103
1.713000,-0.0245,-0.0103,1.1102,1.110
1.733000,-0.0206,-0.0161,1.0984,1.099
1.734000,-0.0167,-0.0142,1.1082,1.108
1.735000,-0.0167,-0.0142,1.0965,1.097
1.735000,-0.0147,-0.0122,1.1004,1.101
1.738000,-0.0128,-0.0122,1.1023,1.102
1.742000,-0.0089,-0.0181,1.0984,1.099
1.747000,-0.0108,-0.0181,1.1082,1.108
1.752000,-0.0089,-0.0200,1.1004,1.101
1.757000,-0.0049,-0.0122,1.0906,1.091
1.763000,-0.0108,-0.0142,1.1004,1.101
1.767000,-0.0128,-0.0220,1.1121,1.112
1.784000,-0.0108,-0.0161,1.1043,1.104
1.787000,-0.0089,-0.0161,1.1004,1.101
1.792000,-0.0128,-0.0122,1.1004,1.101
1.802000,-0.0069,-0.0161,1.1004,1.101
1.804000,-0.0108,-0.0103,1.1043,1.104
1.806000,-0.0089,-0.0161,1.0965,1.097
1.831000,-0.0069,-0.0142,1.0867,1.087
1.832000,-0.0108,-0.0142,1.1023,1.102
1.832000,-0.0167,-0.0122,1.0984,1.099
1.833000,-0.0225,-0.0161,1.0926,1.093
1.834000,-0.0206,-0.0181,1.0828,1.083
1.836000,-0.0186,-0.0142,1.0984,1.099
1.841000,-0.0206,-0.0220,1.0926,1.093
1.846000,-0.0186,-0.0161,1.0887,1.089
1.851000,-0.0128,-0.0181,1.0984,1.099
1.856000,-0.0147,-0.0200,1.1004,1.101
1.862000,-0.0167,-0.0161,1.1004,1.101
1.866000,-0.0128,-0.0181,1.1004,1.101
1.870000,-0.0030,-0.0142,1.1004,1.100
1.875000,0.0009,-0.0200,1.0906,1.091
1.881000,-0.0010,-0.0200,1.0906,1.091
1.885000,-0.0049,-0.0200,1.0965,1.097
1.891000,-0.0049,-0.0200,1.1023,1.103
1.896000,-0.0128,-0.0181,1.1043,1.105
1.908000,-0.0108,-0.0200,1.0965,1.097
1.910000,-0.0186,-0.0161,1.1062,1.107
1.911000,-0.0265,-0.0161,1.1062,1.107
1.939000,-0.0225,-0.0142,1.1023,1.103
1.940000,-0.0304,-0.0161,1.0906,1.091
1.941000,-0.0460,-0.0181,1.1062,1.107
1.942000,-0.0265,-0.0142,1.0945,1.095
1.942000,-0.0206,-0.0122,1.0984,1.099
1.943000,-0.0186,-0.0083,1.1043,1.104
1.946000,-0.0186,-0.0103,1.1004,1.101
1.949000,-0.0206,-0.0142,1.1004,1.101
1.954000,-0.0089,-0.0083,1.1082,1.108
1.959000,-0.0167,-0.0161,1.1102,1.110
1.964000,-0.0010,-0.0200,1.1082,1.108
1.969000,-0.0069,-0.0142,1.1043,1.104
1.974000,-0.0049,-0.0220,1.1043,1.105
1.980000,-0.0089,-0.0279,1.1121,1.112
1.984000,-0.0049,-0.0161,1.1023,1.102
1.989000,-0.0128,-0.0200,1.0984,1.099
1.993000,-0.0147,-0.0259,1.1004,1.101
1.998000,-0.0147,-0.0181,1.1004,1.101
2.003000,-0.0421,-0.0161,1.0945,1.095
2.008000,-0.0343,-0.0200,1.0847,1.085
2.019000,-0.0382,-0.0142,1.1004,1.101
2.021000,-0.0323,-0.0200,1.1043,1.105
2.023000,-0.0362,-0.0142,1.1004,1.101
2.028000,-0.0304,-0.0181,1.1121,1.113
2.048000,-0.0265,-0.0181,1.1043,1.105
2.049000,-0.0323,-0.0200,1.0984,1.099
2.049000,-0.0186,-0.0181,1.0965,1.097
2.050000,-0.0089,-0.0122,1.0984,1.099
2.057000,-0.0108,-0.0161,1.0887,1.089
2.058000,-0.0108,-0.0200,1.1004,1.101
2.063000,-0.0030,-0.0220,1.1004,1.101
2.067000,-0.0089,-0.0239,1.1023,1.103
2.073000,-0.0089,-0.0220,1.1121,1.112
2.077000,-0.0128,-0.0220,1.1082,1.108
2.082000,-0.0108,-0.0142,1.1023,1.102
2.087000,-0.0147,-0.0181,1.1160,1.116
2.092000,-0.0206,-0.0200,1.0984,1.099
