,index,shunt,shunt_v,source,source_v,bias,millisecs,current_a,power_w,secs
60,60,478,0.336914,1684,1.220215,18,630015,0.09626114285714285,0.11745929043142857,630.015
61,61,444,0.312012,1686,1.22168,18,640015,0.08914628571428572,0.10890823433142859,640.015
62,62,435,0.30542,1690,1.224609,18,650016,0.08726285714285716,0.10686288022285717,650.016
63,63,446,0.313477,1689,1.223877,18,660016,0.08956485714285714,0.10961636866542858,660.016
64,64,452,0.317871,1691,1.225342,18,670016,0.09082028571428571,0.11128591053771428,670.016
65,65,431,0.303223,1694,1.228271,17,680016,0.08663514285714287,0.10641143355228572,680.016
66,66,444,0.312012,1694,1.227539,18,690016,0.08914628571428572,0.10943054241942857,690.016
67,67,448,0.314941,1693,1.226807,18,700016,0.08998314285714286,0.11039194953914286,700.016
68,68,409,0.286377,1696,1.229004,18,710017,0.08182199999999999,0.10055956528799999,710.017
69,69,423,0.296631,1694,1.227539,18,720017,0.08475171428571428,0.10403603460257141,720.017
70,70,425,0.298096,1689,1.223877,18,730017,0.08517028571428573,0.10423795376914288,730.017
71,71,417,0.292236,1693,1.226807,18,740017,0.083496,0.102433477272,740.017
72,72,424,0.297363,1692,1.226074,18,750017,0.08496085714285714,0.10416829796057143,750.017
73,73,436,0.306152,1693,1.226807,18,760018,0.087472,0.10731126190399999,760.018
74,74,414,0.290039,1693,1.226807,18,770018,0.08286828571428571,0.10166339299228572,770.018
75,75,436,0.306152,1691,1.225342,18,780018,0.087472,0.10718311542399998,780.018
76,76,414,0.290039,1694,1.227539,18,790018,0.08286828571428571,0.10172405257742856,790.018
77,77,380,0.265137,1696,1.229004,18,800018,0.07575342857142857,0.093101266728,800.018
78,78,413,0.289307,1693,1.226807,18,810019,0.08265914285714285,0.10140681507114284,810.019
79,79,451,0.317139,1691,1.225342,18,820019,0.09061114285714286,0.11102963901085715,820.019
80,80,442,0.310547,1692,1.226074,18,830019,0.08872771428571428,0.10878674356514287,830.019
