00568	0.402832	02036	1.478027	00568	455072
00554	0.392578	02029	1.472900	00554	456072
00558	0.395508	02019	1.465576	00558	457072
00561	0.397705	02034	1.476562	00561	458072
00563	0.399170	02034	1.476562	00563	459073
00555	0.393311	02029	1.472900	00555	460073
00548	0.388184	02026	1.470703	00548	461073
00562	0.398438	02018	1.464844	00562	462073
00564	0.399902	02037	1.478760	00564	463073
00568	0.402832	02014	1.461914	00568	464073
00556	0.394043	02034	1.476562	00556	465074
00549	0.388916	02022	1.467773	00549	466074
00557	0.394775	02032	1.475098	00557	467074
00558	0.395508	02017	1.464111	00558	468074
00571	0.405029	02023	1.468506	00571	469074
00548	0.388184	02024	1.469238	00548	470075
00559	0.396240	02033	1.475830	00559	471075
00565	0.400635	02040	1.480957	00565	472075
00563	0.399170	02036	1.478027	00563	473075
00560	0.396240	02030	1.472900	00560	474075
00571	0.405029	02017	1.464111	00571	475076
00560	0.396973	02018	1.464844	00560	476076
00560	0.396973	02036	1.478027	00560	477076
00565	0.400635	02019	1.465576	00565	478076
00561	0.397705	02019	1.465576	00561	479076
00559	0.396240	02035	1.477295	00559	480076
00560	0.396973	02019	1.465576	00560	481077
00558	0.395508	02034	1.476562	00558	482077
00568	0.402832	02013	1.461182	00568	483077
00575	0.407959	02018	1.464844	00575	484077
00551	0.390381	02026	1.470703	00551	485077
00574	0.407959	02019	1.466309	00574	486078
00572	0.405762	02021	1.467041	00572	487078
00552	0.391113	02024	1.469238	00552	488078
00569	0.403564	02037	1.478760	00569	489078
00554	0.392578	02029	1.472900	00554	490078
00566	0.401367	02035	1.477295	00566	491078
00566	0.401367	02041	1.481689	00566	492079
00567	0.402100	02035	1.477295	00567	493079
00570	0.404297	02016	1.463379	00570	494079
00567	0.401367	02025	1.469238	00567	495079
00555	0.393311	02023	1.468506	00555	496079
00549	0.388184	02027	1.470703	00549	497080
00558	0.395508	02033	1.475830	00558	498080
00568	0.402832	02014	1.461914	00568	499080
00553	0.391846	02029	1.472900	00553	500080
00548	0.388184	02024	1.469238	00548	501080
00561	0.397705	02038	1.479492	00561	502080
00566	0.401367	02035	1.477295	00566	503081
00560	0.396973	02035	1.477295	00560	504081
